number of nodes = 20, graph = [(12, 19), (12, 5), (12, 0), (19, 0), (19, 2), (3, 13), (3, 9), (3, 14), (13, 1), (13, 18), (5, 10), (5, 17), (10, 4), (10, 16), (4, 18), (4, 2), (18, 15), (9, 11), (9, 1), (11, 14), (11, 17), (1, 6), (6, 8), (6, 7), (14, 15), (17, 8), (8, 16), (15, 7), (2, 7), (0, 16)], number of qubits = 19, optimal cost = 14.51219389744966, optimal nodes sets = [(7, 9, 10, 12, 13, 14, 16, 17, 18, 19), (0, 1, 2, 3, 4, 5, 6, 8, 11, 15)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19), ()], degeneracy of worse sets = 1, ground energy = -14.51219389744966, ground state = 1111111010010001000, degeneracy of optimal solutions = 1, first excited energy = -14.507439608880386, gap = 0.004754288569273513, first excited state = 0010001001101110111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 0000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 15.029892753700159, sdp lower bound ground energy = -15.029892753700159, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["1111111000010001000", "1111110010010001000", "1101111010010001000", "1111111010010001000", "1101110110010001000", "1111110110010001000", "1111111000010001100", "1111111010010001100", "0111111000011001100", "0111111010011001100", "1010111001000101010", "1011111001000101010", "1010111001000111010", "1010111001000101110", "1011111001000101110", "0010101001001101110", "0011101001001101110", "0010111001001101110", "0011111001001101110", "0011001001101101110", "0011101001101101110", "0010111001000111110", "1010111001000111110", "0010101001001111110", "0010111001001111110", "0010001001101111110", "0010101001101111110", "1101000110110000001", "1111000110110000001", "1101010110110000001", "1111010110110000001", "0101000110111000001", "0111000110111000001", "1100000110110010001", "1110000110110010001", "1111000110110010001", "1100010110110010001", "1110010110110010001", "0110000110111010001", "0111000110111000101", "0110000110111010101", "1010001001100110011", "1010000101100110011", "1000000111100110011", "1010000111100110011", "0010001001101110011", "0010000111101110011", "0010001001101110111", "0000000101101110111", "0010000101101110111", "0010001101101110111", "0010000111101110111", "0111001000111001111"]
-7.951978058005161
0.012391069975981717 12
0.22572858643595828 12 5
0.4618107678571129 12 0
0.05130611949235597 0
0.2143222144174306 2
0.24034524173883137 3 13
0.04753041908030253 3 9
0.42343073976271256 3 14
0.3780845301597466 13 1
0.17723434804642435 13 18
0.3917452397607986 5 10
0.13460702607033803 5 17
0.4414570573395707 10 4
0.13116560397995536 10 16
0.42284077112802976 4 18
0.03521581628075687 4 2
0.39009175258008144 18 15
0.39948408692349624 9 11
0.4569540568971457 9 1
0.10839432012462963 11 14
0.42622135676764517 11 17
0.027091316118830033 1 6
0.3127829548783848 6 8
0.4682895888187101 6 7
0.35334614820161464 14 15
0.3379322772996289 17 8
0.13967405773525626 8 16
0.3385521820462343 15 7
0.13907307727497037 2 7
0.26487533081222886 0 16
