number of nodes = 20, graph = [(12, 19), (12, 9), (12, 2), (19, 14), (19, 17), (5, 7), (5, 3), (5, 11), (7, 1), (7, 8), (14, 11), (14, 13), (4, 18), (4, 10), (4, 1), (18, 3), (18, 16), (11, 15), (2, 8), (2, 17), (8, 6), (13, 9), (13, 6), (17, 10), (6, 16), (3, 15), (15, 16), (0, 1), (0, 10), (0, 9)], number of qubits = 19, optimal cost = 14.863627033883212, optimal nodes sets = [(1, 2, 5, 6, 9, 10, 14, 15, 18, 19), (0, 3, 4, 7, 8, 11, 12, 13, 16, 17)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19), ()], degeneracy of worse sets = 1, ground energy = -14.863627033883212, ground state = 1001100110011100110, degeneracy of optimal solutions = 1, first excited energy = -14.600650949426939, gap = 0.2629760844562732, first excited state = 1001100010011100110, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 0000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 15.2708874144708, sdp lower bound ground energy = -15.2708874144708, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["1001101100011100010", "1001101100011101010", "1001111100001011010", "1001101100001111010", "1001111100001111010", "1001100100011100110", "1001101100011100110", "1101000010011100110", "1001100010011100110", "1101100010011100110", "1001110010011100110", "1001100110011100110", "1001110010001110110", "1001100110011110110", "0110011001100011001", "1000101100011101011", "1000111100001011011", "1000101100001111011", "1000111100001111011", "1100010010001111011", "1100011010001111011", "1100000010011100111", "1100010010011100111", "1100010010001111111"]
-7.963401516848112
0.18777717475813183 12
0.28565236140650935 12 9
0.3098554161494128 12 2
0.09954724264776638 14
0.1687665977683575 17
0.11631002046555189 5 7
0.009369958692290792 5 3
0.3064256268149343 5 11
0.4472187790213231 7 1
0.43204075725873875 7 8
0.32995750023904025 14 11
0.11960257145834274 14 13
0.22164932584373986 4 18
0.18589285189535637 4 10
0.48256072148386664 4 1
0.47441425134603515 18 3
0.08803797064167918 18 16
0.32022571514982484 11 15
0.19027374499939254 2 8
0.18718278600259192 2 17
0.37069402984156674 8 6
0.30511548274594075 13 9
0.04713007670437164 13 6
0.37704779190169696 17 10
0.47466370345722664 6 16
0.11459760295182408 3 15
0.3977233497959378 15 16
0.09240498742224262 0 1
0.3540302823693706 0 10
0.4672328356150487 0 9
