number of nodes = 22, graph = [(15, 21), (15, 1), (15, 13), (21, 12), (21, 0), (14, 16), (14, 0), (14, 4), (16, 6), (16, 10), (4, 18), (4, 2), (18, 7), (18, 11), (5, 19), (5, 12), (5, 20), (19, 0), (19, 8), (9, 11), (9, 17), (9, 3), (11, 3), (17, 13), (17, 8), (1, 6), (1, 20), (6, 3), (10, 12), (10, 8), (13, 7), (2, 20), (2, 7)], number of qubits = 21, optimal cost = 15.832747051547374, optimal nodes sets = [(1, 2, 3, 5, 10, 13, 14, 17, 18, 19, 21), (0, 4, 6, 7, 8, 9, 11, 12, 15, 16, 20)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -15.832747051547374, ground state = 100010111101100110001, degeneracy of optimal solutions = 1, first excited energy = -15.285248668587395, gap = 0.5474983829599793, first excited state = 000010111101100110001, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 15.832747050540005, sdp lower bound ground energy = -15.832747050540005, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["100010011101100110001", "000010111101100110001", "100010111101100110001", "100011111101100110001", "100010111101100110011"]
-8.17458765876285
0.27076503064667395 15
0.32688403018152556 15 1
0.18904706778307784 15 13
0.22322815093834253 12
0.11859861391636473 0
0.4396876767901773 14 16
0.05300386587705391 14 0
0.07577198061703244 14 4
0.06690851771118478 16 6
0.36508593721465 16 10
0.4336910511637481 4 18
0.3299645441265285 4 2
0.3419744726266928 18 7
0.373047017588831 18 11
0.007804235158634709 5 19
0.24808163292201368 5 12
0.0798299459479227 5 20
0.10214671168657102 19 0
0.27794697307441485 19 8
0.15260272631496896 9 11
0.27678434757205733 9 17
0.4887800396723412 9 3
0.39033468431683105 11 3
0.03089865380437412 17 13
0.3512715436253463 17 8
0.06463997763097684 1 6
0.3942080987979834 1 20
0.273252167303088 6 3
0.10646603707275315 10 12
0.2902629812576 10 8
0.4435086044167486 13 7
0.4758181835986566 2 20
0.11229215740768317 2 7
