number of nodes = 22, graph = [(6, 21), (6, 20), (6, 10), (21, 16), (21, 9), (4, 15), (4, 11), (4, 1), (15, 3), (15, 2), (0, 2), (0, 8), (0, 3), (2, 14), (9, 14), (9, 13), (14, 5), (8, 11), (8, 17), (1, 3), (1, 13), (11, 17), (17, 19), (7, 10), (7, 19), (7, 18), (10, 16), (20, 19), (20, 12), (12, 18), (12, 5), (18, 5), (13, 16)], number of qubits = 21, optimal cost = 13.725527339810018, optimal nodes sets = [(2, 3, 4, 8, 10, 13, 18, 19, 20, 21), (0, 1, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -13.725527339810018, ground state = 110001110101101111000, degeneracy of optimal solutions = 1, first excited energy = -13.66404570619136, gap = 0.06148163361865855, first excited state = 110001110101100111000, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 13.918224980829056, sdp lower bound ground energy = -13.918224980829056, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["001111111100100010000", "001111111000110010000", "001111111100110010000", "110001111100100110000", "110001111000101110000", "110001111100101110000", "001111111100110011000", "001111110101110011000", "110001110001100111000", "110001110101100111000", "111001110101100111000", "110000110001101111000", "110001110001101111000", "110000110101101111000", "110001110101101111000", "110000100001101111100", "110000110001101111100", "110000100101101111100", "110000110101101111100", "001111111000110010010", "001111101100110010010", "001111111100110010010", "110001111100100110010", "110001111000101110010", "110001111100101110010", "001111110101110011010", "110001100101100111010", "110001110101100111010", "110001100001101111010", "110001110001101111010", "110001100101101111010", "110001110101101111010", "001110101100110010110", "110000101000101110110", "110000101100101110110", "001110100101110011110", "110000100101100111110", "110000100001101111110", "110000100101101111110"]
-7.122783409882552
0.2524804445807349 6
0.3125854024543058 6 20
0.19966609577322836 6 10
0.31374389471827857 16
0.13873951731323042 9
0.2777125882799488 4 15
0.07568221442471001 4 11
0.3963778119490953 4 1
0.2696067470822626 15 3
0.2617255553475303 15 2
0.10643614198469864 0 2
0.0605471746755048 0 8
0.45167307654070243 0 3
0.22079587876934864 2 14
0.13651132183892317 9 14
0.016207815788754854 9 13
0.05354374012109414 14 5
0.4096628542931076 8 11
0.30725416402880357 8 17
0.47887111504457647 1 3
0.41287104068430686 1 13
0.013984204601914962 11 17
0.06168472380863693 17 19
0.038352827183546656 7 10
0.16861614553844317 7 19
0.23179218289389614 7 18
0.374135542248543 10 16
0.047568961667180665 20 19
0.4630089398058226 20 12
0.14044766500964007 12 18
0.008411511748429301 12 5
0.2885987650349167 18 5
0.13348734464843642 13 16
