number of nodes = 22, graph = [(15, 21), (15, 14), (15, 2), (21, 17), (21, 10), (3, 4), (3, 12), (3, 18), (4, 16), (4, 1), (18, 20), (18, 13), (20, 2), (20, 17), (1, 16), (1, 12), (16, 7), (5, 7), (5, 11), (5, 17), (7, 0), (14, 19), (14, 9), (19, 2), (19, 10), (9, 13), (9, 6), (12, 0), (10, 11), (6, 8), (6, 0), (8, 11), (8, 13)], number of qubits = 21, optimal cost = 16.8219580013775, optimal nodes sets = [(0, 2, 4, 5, 8, 9, 10, 12, 14, 18, 20, 21), (1, 3, 6, 7, 11, 13, 15, 16, 17, 19)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -16.8219580013775, ground state = 010100110001010111010, degeneracy of optimal solutions = 1, first excited energy = -16.601871426666968, gap = 0.22008657471053183, first excited state = 010100110001010101010, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.108738881899754, sdp lower bound ground energy = -17.108738881899754, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["011100110011011001000", "001010110011111001000", "111101001010011011000", "011100110001011011000", "011100110011011011000", "111100110011011011000", "101011001110101001100", "001010011110101001100", "101010011110101001100", "001010110111101001100", "001010110011111001100", "101011001110101011100", "010100110001010101010", "110100110001010101010", "000010110001110101010", "010100100001010111010", "110100100001010111010", "010100110001010111010", "110100110001010111010", "000010110001100101110", "000010010101100101110", "100010010101100101110", "000010110101100101110", "000010011101100101110", "100010011101100101110", "000010110001110101110", "000010110101100111110", "111101001010011010001", "101011001110101000101", "101011001110101010101", "010100110001010101011", "010100110001010111011", "110100110001010111011", "100011001100100100111", "100011001110100100111", "100011001100100110111", "000010110101100101111"]
-8.985733580325157
0.1147436878362309 15
0.18455544235999133 15 14
0.4242365545852984 15 2
0.22968678460060715 17
0.10422762427113741 10
0.433855429523756 3 4
0.368250969883335 3 12
0.4236495776967476 3 18
0.21445049970485736 4 16
0.31790680890329925 4 1
0.015146875432549722 18 20
0.43932275606240356 18 13
0.22485464524717053 20 2
0.4248938081883814 20 17
0.05196428362224248 1 16
0.3234399050706701 1 12
0.05244292872734946 16 7
0.2966655095972347 5 7
0.39062617345590456 5 11
0.4334118404646119 5 17
0.11365327622772958 7 0
0.48416401493999744 14 19
0.00966355453191825 14 9
0.4923747279479351 19 2
0.45532669493687766 19 10
0.4470965329302663 9 13
0.20766074788935873 9 6
0.11645466780403813 12 0
0.3055886603623705 10 11
0.2600060907095265 6 8
0.23689206795658657 6 0
0.2865367499321556 8 11
0.10198368892261672 8 13
