number of nodes = 22, graph = [(15, 21), (15, 8), (15, 3), (21, 3), (21, 0), (4, 12), (4, 18), (4, 1), (12, 19), (12, 1), (19, 16), (19, 18), (5, 10), (5, 2), (5, 20), (10, 17), (10, 16), (18, 13), (9, 14), (9, 17), (9, 7), (14, 11), (14, 20), (1, 6), (6, 16), (6, 0), (17, 11), (8, 0), (8, 7), (11, 13), (2, 7), (2, 13), (3, 20)], number of qubits = 21, optimal cost = 13.598824124707075, optimal nodes sets = [(1, 2, 3, 4, 5, 6, 8, 9, 13, 14, 17, 19, 21), (0, 7, 10, 11, 12, 15, 16, 18, 20)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -13.598824124707075, ground state = 100000010011100110101, degeneracy of optimal solutions = 1, first excited energy = -13.535683399058556, gap = 0.06314072564851969, first excited state = 110000010011100110101, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 13.866452069179562, sdp lower bound ground energy = -13.866452069179562, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["100001010011101110100", "100001010000100111100", "110001010000100111100", "110001010000001111100", "100001010000101111100", "110001010000101111100", "100101010000101111100", "110101010000101111100", "100011010000101111100", "100001010001101111100", "110001010001101111100", "100001010000111111100", "000011110000011101010", "010011110000011101010", "110011010000011111010", "100010010011110110001", "000000110011100100101", "110000010010000110101", "110000010011000110101", "111000000111000110101", "110000010111000110101", "100000010010100110101", "110000010010100110101", "101000000110100110101", "100000010011100110101", "110000010011100110101", "100010010011100110101", "101000000111100110101", "111000000111100110101", "101010000111100110101", "100000010111100110101", "110000010111100110101", "100010010111100110101", "100000010011110110101", "110000010011110110101", "110000010010001110101", "110000010011001110101", "100000010010101110101", "110000010010101110101", "100010010010101110101", "100000010011101110101", "110000010011101110101", "100010010011101110101", "101000000111101110101", "100000010011111110101", "110000010000000111101", "110000010001000111101", "100000010000100111101", "110000010000100111101", "100010010000100111101", "100000010001100111101", "110000010001100111101", "110000010000001111101", "100000010000101111101", "110000010000101111101", "100010010000101111101", "100000010001101111101", "110000010001101111101", "000010110010010100011", "010010110010010100011", "100010010011010100011", "110010010011010100011", "010000110011010100011", "000010110011010100011", "010010110011010100011", "001010100111010100011", "011010100111010100011", "000010110111010100011", "010010110111010100011", "000010110011110100011", "000010110010011100011", "010010110010011100011", "000010110011011100011", "010010110011011100011", "000010110011111100011", "110000010011010110011", "100010010011010110011", "110010010011010110011", "111010000111010110011", "110010010111010110011", "100010010011110110011", "100010010011011110011", "110010010011011110011", "000010110000010101011", "010010110000010101011", "010010110001010101011", "000010110000011101011", "010010110000011101011", "110010010000010111011", "110010010000011111011"]
-7.404819343740235
0.48945962402071935 15
0.42094743468183354 15 8
0.470496592197999 15 3
0.10324484804963074 3
0.028116903875959165 0
0.17978357282384322 4 12
0.33650429648067043 4 18
0.35721546317375186 4 1
0.3194088082552291 12 19
0.40978933953976854 12 1
0.20491552046826733 19 16
0.48567323120574313 19 18
0.126826956006439 5 10
0.0036032670489062335 5 2
0.435235017019109 5 20
0.4252138285458774 10 17
0.0033190126602490877 10 16
0.2544317283701167 18 13
0.05026042548041909 9 14
0.050645331332540844 9 17
0.25500614388503373 9 7
0.051506256096608694 14 11
0.08882409113253792 14 20
0.021003513541757335 1 6
0.28687273330524954 6 16
0.4580284083308742 6 0
0.1366090074844642 17 11
0.10333008265914162 8 0
0.2427629361151738 8 7
0.005412827915139695 11 13
0.3755205356380002 2 7
0.016115420099442557 2 13
0.20873618629973872 3 20
