number of nodes = 22, graph = [(15, 21), (15, 9), (15, 11), (21, 20), (21, 13), (6, 18), (6, 12), (6, 3), (18, 1), (18, 19), (12, 11), (12, 2), (9, 17), (9, 13), (17, 0), (17, 10), (2, 5), (2, 7), (5, 4), (5, 14), (0, 14), (0, 3), (14, 3), (1, 13), (1, 16), (7, 16), (7, 19), (16, 11), (19, 8), (4, 20), (4, 10), (20, 8), (8, 10)], number of qubits = 21, optimal cost = 17.122931007108814, optimal nodes sets = [(0, 1, 2, 5, 6, 9, 10, 11, 19, 20, 21), (3, 4, 7, 8, 12, 13, 14, 15, 16, 17, 18)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -17.122931007108814, ground state = 000110011000111111100, degeneracy of optimal solutions = 1, first excited energy = -16.898605053530105, gap = 0.22432595357870966, first excited state = 011000100011011101011, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.630879211216975, sdp lower bound ground energy = -17.630879211216975, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["100011011000110110100", "100111011000110110100", "001110011001011101100", "100011011000110111100", "000111011000110111100", "100111011000110111100", "001110011000011111100", "000010011000111111100", "000110011000111111100", "001110011000111111100", "000011011000111111100", "000111011000111111100", "000010111000111111100", "100101010010110110101", "000101010010110111101", "100101010010110111101", "000000010010111111101", "000100010010111111101", "000101010010111111101", "111000100111000000011", "111100100111000000011", "111001100111000000011", "111101100111000000011", "111001100111010000011", "011000100111001000011", "111000100111001000011", "011100100111001000011", "100001100010110110011", "011000100111001001011", "001000100011011001011", "011000100011011001011", "011100100011011001011", "001000100011011101011", "011000100011011101011", "001100100011011101011", "011100100011011101011", "100001100010110111011", "110001100010110111011", "000101100010110111011", "100101100010110111011", "100001110010110111011", "001000100010011111011", "011000100010011111011", "001100100010011111011", "011100100010011111011", "000000100010111111011", "010000100010111111011", "001000100010111111011", "011000100010111111011", "000100100010111111011", "001100100010111111011", "000001100010111111011", "000101100010111111011", "000000110010111111011", "000101000010110111111", "100101000010110111111", "001100000010011111111", "000100000010111111111", "001100000010111111111"]
-9.242746481718807
0.0726057524413391 15
0.3538483563994551 15 9
0.33950953860405425 15 11
0.23501793986360697 20
0.30292490310091313 13
0.3415107000048635 6 18
0.05826035611448127 6 12
0.12410871344391994 6 3
0.17322452822434736 18 1
0.36032594091870734 18 19
0.41387656313499405 12 11
0.4798956999058645 12 2
0.42050327276274424 9 17
0.3473381951911357 9 13
0.3401560041604189 17 0
0.031879744443265134 17 10
0.2587031244877891 2 5
0.18612059650120583 2 7
0.044913621643586366 5 4
0.37217948555427266 5 14
0.4608630630845194 0 14
0.16132706512503908 0 3
0.15896521498931065 14 3
0.18721928631411816 1 13
0.12236911340429207 1 16
0.028594698823693254 7 16
0.31027247547681946 7 19
0.39294295491436726 16 11
0.45592452254619037 19 8
0.4386473123867371 4 20
0.49697835607204827 4 10
0.39752656300026806 20 8
0.3742128186804405 8 10
