number of nodes = 22, graph = [(6, 21), (6, 1), (6, 0), (21, 17), (21, 9), (7, 20), (7, 18), (7, 4), (20, 11), (20, 4), (12, 13), (12, 8), (12, 2), (13, 2), (13, 19), (5, 16), (5, 4), (5, 18), (16, 0), (16, 17), (17, 19), (8, 14), (8, 3), (1, 3), (1, 15), (11, 14), (11, 2), (14, 10), (3, 18), (10, 15), (10, 9), (15, 9), (0, 19)], number of qubits = 21, optimal cost = 15.885064613754507, optimal nodes sets = [(2, 3, 5, 6, 12, 14, 15, 16, 19, 20, 21), (0, 1, 4, 7, 8, 9, 10, 11, 13, 17, 18)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -15.885064613754507, ground state = 110010011111010001100, degeneracy of optimal solutions = 1, first excited energy = -15.830120938193515, gap = 0.05494367556099178, first excited state = 001101100000101101011, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 16.367238267912228, sdp lower bound ground energy = -16.367238267912228, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["100101111101010001000", "110001011111010001000", "110011011111010001000", "100110111111010001000", "100101111111010001000", "100111111111010001000", "100101111001010101000", "100111111001010101000", "100101110011010101000", "100111101011010101000", "100110111011010101000", "100101111011010101000", "100111111011010101000", "100101110011110101000", "100101111011110101000", "110010011101010001100", "110010010111010001100", "110010001111010001100", "110010011111010001100", "110010111111010001100", "100110111111010001100", "110010010111110001100", "110010011111110001100", "100110111001010101100", "100110101011010101100", "110010011011010101100", "100010111011010101100", "100110111011010101100", "100110110011110101100", "000110111011010111100", "001110110000101110110", "110001001111010001001", "100101101111010001001", "111001000100101001001", "101101100100101001001", "111001000100011001001", "100101100100011001001", "101101100100011001001", "110001001100011001001", "111001001100011001001", "100101101100011001001", "101101101100011001001", "110001000100111001001", "100101100100111001001", "100101101011010101001", "101101100000101101001", "100101100000011101001", "101101100000011101001", "100101101000011101001", "101101101000011101001", "100101100000111101001", "101101100000111101001", "001101100100101010011", "001101100000101110011", "001101110000101110011", "001101100100101110011", "001101100010101110011", "001101100100101001011", "001101100110101001011", "001101100000001101011", "001101101000001101011", "001101100000101101011", "001101110000101101011", "001101101000101101011", "001101100100101101011", "001101100010101101011", "001101100100101011011", "001101100000101111011", "001101100010101111011", "001100100100101010111", "001110100100101010111", "001100100000101110111", "001110100000101110111", "001110100000101111111"]
-8.849977873417759
0.4361703107475049 6
0.44501562470333555 6 1
0.3063057217710041 6 0
0.39200499364870706 17
0.09372535581819924 9
0.48698704567616147 7 20
0.001977372681807643 7 18
0.17619616881072964 7 4
0.37337128707600153 20 11
0.4060976321027961 20 4
0.22175853873460072 12 13
0.18278912082976356 12 8
0.053201830674445505 12 2
0.3126944145944799 13 2
0.42511679606555597 13 19
0.15102061364868974 5 16
0.28594705053532055 5 4
0.32842366363173225 5 18
0.3502195676846314 16 0
0.3335644191975104 16 17
0.17071783867386026 17 19
0.17237317139285557 8 14
0.011017324832369335 8 3
0.4536576558156826 1 3
0.18839233571775854 1 15
0.43123743505939316 11 14
0.27668098213144904 11 2
0.2533758683830125 14 10
0.1113380148627034 3 18
0.057273914380904845 10 15
0.08887926997732387 10 9
0.44077682239287885 15 9
0.4316697111645877 0 19
