number of nodes = 22, graph = [(15, 21), (15, 16), (15, 2), (21, 6), (21, 8), (6, 11), (6, 9), (18, 20), (18, 17), (18, 9), (20, 1), (20, 3), (5, 7), (5, 0), (5, 14), (7, 4), (7, 1), (0, 16), (0, 12), (17, 13), (17, 19), (11, 14), (11, 10), (14, 12), (8, 16), (8, 10), (13, 2), (13, 19), (3, 9), (3, 12), (10, 4), (1, 4), (2, 19)], number of qubits = 21, optimal cost = 17.683370564309392, optimal nodes sets = [(2, 4, 5, 9, 10, 11, 12, 16, 17, 20, 21), (0, 1, 3, 6, 7, 8, 13, 14, 15, 18, 19)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -17.683370564309392, ground state = 110100111000011100110, degeneracy of optimal solutions = 1, first excited energy = -17.449989509574458, gap = 0.23338105473493442, first excited state = 110100111010011100110, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.69019644765104, sdp lower bound ground energy = -17.69019644765104, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["110100101000011100110", "100110101000011100110", "110110101000011100110", "010100111000011100110", "110100111000011100110", "100110111000011100110", "110100101010011100110", "100110101010011100110", "110100111010011100110", "000011101101110100011", "100010101100011100011"]
-9.236267005832707
0.4254053373460294 15
0.3450173678244688 15 16
0.47173660906052084 15 2
0.43918084731736245 6
0.286933203243165 8
0.23659462652246566 6 11
0.03570165682775739 6 9
0.4643387344266413 18 20
0.19306363870726334 18 17
0.4237374711644826 18 9
0.16942628998113674 20 1
0.2156746939887037 20 3
0.0407147724712712 5 7
0.2110967979992444 5 0
0.4926233659697877 5 14
0.35083242839304374 7 4
0.07208029222810652 7 1
0.06419411655602841 0 16
0.07576945979639188 0 12
0.453545537341658 17 13
0.3978376608433564 17 19
0.25209609215185724 11 14
0.02136307592293385 11 10
0.3911225014440748 14 12
0.4392986063960211 8 16
0.2043781358339799 8 10
0.4180208405325341 13 2
0.23481382298339276 13 19
0.32464641797503874 3 9
0.20768184144223406 3 12
0.06632453254357878 10 4
0.3771178022618557 1 4
0.4338984283363204 2 19
