number of nodes = 22, graph = [(15, 21), (15, 7), (15, 18), (21, 8), (21, 12), (7, 20), (7, 8), (20, 13), (20, 14), (4, 9), (4, 10), (4, 13), (9, 3), (9, 12), (12, 19), (19, 14), (19, 2), (3, 16), (3, 0), (16, 11), (16, 8), (14, 13), (17, 18), (17, 1), (17, 5), (18, 5), (0, 11), (0, 6), (11, 6), (6, 5), (1, 2), (1, 10), (2, 10)], number of qubits = 21, optimal cost = 13.845777930705017, optimal nodes sets = [(0, 1, 6, 7, 9, 10, 13, 16, 18, 19, 20, 21), (2, 3, 4, 5, 8, 11, 12, 14, 15, 17)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -13.845777930705017, ground state = 001111001001101101000, degeneracy of optimal solutions = 1, first excited energy = -13.67991850766053, gap = 0.16585942304448764, first excited state = 001110101001101101000, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 14.224882963836095, sdp lower bound ground energy = -14.224882963836095, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["010111001001101100000", "001111001001101100000", "011111001001101100000", "001110101000101101000", "101110101000101101000", "001110001001101101000", "001111001001101101000", "001110101001101101000", "001111011001101101000", "001111001011101101000", "001110101011101101000", "101000101110110111000", "101110101000101111000", "101000101110101111000", "001111001001101111000", "101000101110111111000", "010111011001101000100", "001111011001101000100", "011111011001101000100", "001110111000101001100", "101110111000101001100", "001110011001101001100", "001110111001101001100", "001110111011101001100", "101000111110110011100", "101110111000101011100", "101000111110101011100", "101000111110111011100", "010111001001101100010", "010111011001101000110", "010111001001101100001", "001111001001101100001", "011111001001101100001", "101000101110110101001", "001110101000101101001", "101110101000101101001", "001110001001101101001", "001111001001101101001", "001110101001101101001", "001111001011101101001", "101000101110110111001", "011111011001101000101", "001110111001101001101", "101000111110110011101", "010111001001100100011", "010111001001110100011", "010001001111110100011", "010111001001101100011", "110001001110110110011", "010001001111110110011", "100000101110110111011", "110000111110110010111"]
-7.708331788900425
0.006861799090378318 15
0.28550351507611993 15 7
0.3485666620828848 15 18
0.41719229370410177 8
0.3510105821866333 12
0.04763554546079357 7 20
0.07399782289908469 7 8
0.0003880491355376381 20 13
0.13838189373105497 20 14
0.4299926882055604 4 9
0.2865553737151128 4 10
0.34093333068252835 4 13
0.37732066272411563 9 3
0.01662116283333731 9 12
0.11804634634539835 12 19
0.19223325291961457 19 14
0.30013819641970085 19 2
0.13252546540003313 3 16
0.13811473460799245 3 0
0.10226498510828247 16 11
0.10613325534795742 16 8
0.30032916584463304 14 13
0.3203549399855268 17 18
0.33736520510522816 17 1
0.4321221696247061 17 5
0.34078773893763725 18 5
0.27669193644159745 0 11
0.03699316118564616 0 6
0.21125730339496113 11 6
0.29922876426666634 6 5
0.4606124332273565 1 2
0.26830389814123146 1 10
0.21386745506901284 2 10
