number of nodes = 22, graph = [(15, 21), (15, 6), (15, 10), (21, 6), (21, 19), (16, 20), (16, 12), (16, 17), (20, 4), (20, 3), (6, 2), (12, 17), (12, 2), (5, 7), (5, 9), (5, 8), (7, 18), (7, 1), (9, 11), (9, 18), (11, 14), (11, 19), (14, 2), (14, 3), (19, 13), (10, 18), (10, 0), (4, 8), (4, 1), (8, 13), (0, 1), (0, 13), (17, 3)], number of qubits = 21, optimal cost = 12.976848244077345, optimal nodes sets = [(1, 2, 3, 4, 5, 6, 10, 11, 13, 16, 18, 21), (0, 7, 8, 9, 12, 14, 15, 17, 19, 20)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -12.976848244077345, ground state = 100000011100101101011, degeneracy of optimal solutions = 1, first excited energy = -12.920699190668374, gap = 0.05614905340897103, first excited state = 101000011100001111011, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 13.114131073358456, sdp lower bound ground energy = -13.114131073358456, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["101100011001100100000", "101100011001000110000", "010111100011110000100", "011111100011110000100", "010111100011010010100", "011111100011010010100", "111101001001000110100", "011111000001010110100", "011111000011010110100", "101100011100100100010", "100110010100101100010", "100100011100101100010", "101100011100101100010", "100100111100101100010", "101100011100000110010", "101100011001000110010", "101110010100001110010", "100100011100001110010", "101100011100001110010", "100100111100001110010", "100000011100001111010", "101000011100001111010", "100000111100001111010", "100100011100101100110", "101100011100001110110", "101000011001100101001", "101000011001000111001", "010011100011110001101", "011011100011110001101", "011011100011010011101", "011011000011010111101", "100100011100101100011", "101100011100101100011", "100100111100101100011", "101000011100100101011", "100010010100101101011", "100000011100101101011", "101000011100101101011", "100000111100101101011", "101000011100000111011", "101010010100001111011", "100000011100001111011", "101000011100001111011", "100000111100001111011", "110000001100101101111", "100000011100101101111", "101000011100001111111"]
-6.956315959734826
0.26970273408666495 15
0.2962210155172463 15 6
0.3593699648554551 15 10
0.08827535443424472 6
0.025537372358637456 19
0.11993866399823183 16 20
0.4639149608318175 16 12
0.005967586197004937 16 17
0.006522982395539223 20 4
0.22353305814290364 20 3
0.11165231132416059 6 2
0.11265687433756194 12 17
0.07970376391177436 12 2
0.26495329902840997 5 7
0.12030513322717823 5 9
0.19745941341657047 5 8
0.27284394304482235 7 18
0.44083898883348965 7 1
0.397897218683758 9 11
0.009462906286526851 9 18
0.3026257902426758 11 14
0.26975252835639485 11 19
0.12647746217097194 14 2
0.023995707367026553 14 3
0.13789687296156428 19 13
0.03438140203034068 10 18
0.4042818768481055 10 0
0.4868437767327961 4 8
0.12092589556984801 4 1
0.19228176759261068 8 13
0.2009644966810949 0 1
0.3427262152317045 0 13
0.4464046230376954 17 3
