number of nodes = 22, graph = [(15, 21), (15, 12), (15, 9), (21, 5), (21, 0), (16, 20), (16, 12), (16, 2), (20, 4), (20, 17), (12, 7), (14, 19), (14, 6), (14, 7), (19, 13), (19, 8), (4, 18), (4, 5), (18, 3), (18, 11), (2, 17), (2, 9), (17, 6), (6, 13), (5, 3), (3, 0), (9, 10), (10, 8), (10, 1), (0, 1), (1, 11), (11, 13), (7, 8)], number of qubits = 21, optimal cost = 12.749821065204008, optimal nodes sets = [(0, 1, 4, 8, 9, 12, 13, 14, 16, 17, 18, 21), (2, 3, 5, 6, 7, 10, 11, 15, 19, 20)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -12.749821065204008, ground state = 001101110011000100011, degeneracy of optimal solutions = 1, first excited energy = -12.433265308501221, gap = 0.3165557567027868, first excited state = 101001110010000100111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 12.801973953171586, sdp lower bound ground energy = -12.801973953171586, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["110010001100111011100", "110010001100011111100", "001110110011000100010", "001110110011000110010", "110001001100111001101", "101001001010011101101", "111001001010011101101", "110001001100111011101", "001110110011000100011", "101001110011000100011", "001101110011000100011", "101101110011000100011", "011101110011000100011", "001101110011100100011", "001101110011000110011", "101001110010000100111", "111001110010000100111", "101001110010010100111", "111001110010010100111"]
-6.540875638878354
0.14031262992373822 15
0.1929113304448557 15 12
0.22710871448978764 15 9
0.047060555875747645 5
0.02357419467284777 0
0.1005498326958773 16 20
0.027056732528330518 16 12
0.10867805005253622 16 2
0.3353380624558592 20 4
0.08733943835321983 20 17
0.04294542402386403 12 7
0.1446928996603089 14 19
0.40351220124113013 14 6
0.4846944096228478 14 7
0.06278099064239112 19 13
0.1948465627710414 19 8
0.04320933580455949 4 18
0.4088862848131255 4 5
0.3474170816771993 18 3
0.4851652966199619 18 11
0.06881715571117814 2 17
0.4066291993861713 2 9
0.24141993866885708 17 6
0.17687186726883658 6 13
0.04154442286993015 5 3
0.32633197408022774 3 0
0.3945637058891659 9 10
0.030844156547282287 10 8
0.15392340972188256 10 1
0.030580420400682595 0 1
0.14653258924751633 1 11
0.15065366285189696 11 13
0.4640831078654976 7 8
