number of nodes = 22, graph = [(15, 21), (15, 1), (15, 5), (21, 10), (21, 16), (3, 4), (3, 1), (3, 12), (4, 14), (4, 19), (5, 7), (5, 6), (7, 6), (7, 12), (9, 11), (9, 19), (9, 18), (11, 10), (11, 16), (1, 17), (2, 8), (2, 17), (2, 20), (8, 20), (8, 16), (10, 13), (13, 14), (13, 17), (14, 18), (20, 6), (12, 0), (18, 0), (19, 0)], number of qubits = 21, optimal cost = 15.974730033885443, optimal nodes sets = [(0, 1, 2, 4, 5, 6, 8, 9, 12, 13, 21), (3, 7, 10, 11, 14, 15, 16, 17, 18, 19, 20)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -15.974730033885443, ground state = 000100010011001111111, degeneracy of optimal solutions = 1, first excited energy = -15.691025973418384, gap = 0.2837040604670591, first excited state = 000100010001011111111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 16.22131005709952, sdp lower bound ground energy = -16.22131005709952, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["111011101110110010000", "111010101110100110000", "111010101110110110000", "100110010110000111001", "100110010110010111001", "100100010110001111001", "000100010110001111011", "100100010110001111011", "000101010011001011111", "000100010010001111111", "000100010110001111111", "000100010001001111111", "000100110001001111111", "000100010011001111111", "000100110011001111111", "000100010001011111111"]
-8.372334224801701
0.19730628459130078 15
0.12313113212366028 15 1
0.4317723096903674 15 5
0.08504610288419662 10
0.38699791197524025 16
0.418885505894892 3 4
0.3899661208114328 3 1
0.42577313824985397 3 12
0.4862889936340244 4 14
0.39620496770060326 4 19
0.1611711892749923 5 7
0.10524242568513398 5 6
0.1611097897577647 7 6
0.3655564839246773 7 12
0.42786052629241045 9 11
0.1271131763785892 9 19
0.3763749233373171 9 18
0.19245675573776116 11 10
0.043585655474771945 11 16
0.2804485191167167 1 17
0.004790564334580194 2 8
0.32395278738146077 2 17
0.4807924573752697 2 20
0.43699966622370634 8 20
0.19842282503241476 8 16
0.1648224944722047 10 13
0.17053693881275261 13 14
0.07872574427434104 13 17
0.006244093115845395 14 18
0.2370546197620429 20 6
0.032649713510890965 12 0
0.2277490976474592 18 0
0.4273013103230279 19 0
