number of nodes = 22, graph = [(15, 21), (15, 8), (15, 10), (21, 3), (21, 11), (6, 18), (6, 1), (6, 20), (18, 3), (18, 9), (0, 2), (0, 5), (0, 13), (2, 7), (2, 9), (5, 19), (5, 20), (19, 9), (19, 20), (1, 3), (1, 12), (8, 4), (8, 7), (10, 12), (10, 17), (12, 14), (4, 11), (4, 13), (11, 16), (7, 14), (16, 13), (16, 17), (17, 14)], number of qubits = 21, optimal cost = 17.042057489697182, optimal nodes sets = [(0, 1, 4, 5, 7, 9, 12, 15, 16, 17, 18, 20, 21), (2, 3, 6, 8, 10, 11, 13, 14, 19)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -17.042057489697182, ground state = 001100101011011000010, degeneracy of optimal solutions = 1, first excited energy = -17.041807882874966, gap = 0.00024960682221575325, first excited state = 001100101001110101010, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.629936777341964, sdp lower bound ground energy = -17.629936777341964, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["100101101111001010000", "100111110101100101000", "000111110100110101000", "000101110101110101000", "000111110101110101000", "100111110100100111000", "011100001011011000010", "001100101011011000010", "001101101011011000010", "001100101011111000010", "001100101011001010010", "101100101011001010010", "101101101011001010010", "101100101011101010010", "001100101011011010010", "001100101001110001010", "001101101001110001010", "001100101011110001010", "001110110000110101010", "001100100001110101010", "000100110001110101010", "001100110001110101010", "001110110001110101010", "001100101001110101010", "001101101001110101010", "000100110101110101010", "011000001011011000110", "111000001011001010110", "100101101111001010001", "100111110100100101001", "100101110101100101001", "100111110101100101001", "000111110100110101001", "000101010101110101001", "000101110101110101001", "100101110101110101001", "000111110101110101001", "100111110100100111001", "110001001111001010101", "010001010101110101101", "001100101011011000011", "101100101011001010011", "001100101001110101011"]
-9.181234435271435
0.059520400570395815 15
0.426931124086536 15 8
0.4333826894378547 15 10
0.3355429864711832 3
0.3436611031352343 11
0.07099917342616979 6 18
0.4029151681333704 6 1
0.13456782697500613 6 20
0.3738807401861435 18 3
0.009040980616597916 18 9
0.14091675727917868 0 2
0.0064586570451067304 0 5
0.4592086246111915 0 13
0.259421956120696 2 7
0.33899364349790106 2 9
0.45089691428307327 5 19
0.08890622996138475 5 20
0.44909687094529394 19 9
0.32731052182719406 19 20
0.346131305144826 1 3
0.1308334159976987 1 12
0.37309304523957126 8 4
0.3369486385066058 8 7
0.14014062933666777 10 12
0.47931010725591444 10 17
0.37805367343078894 12 14
0.4181631751540802 4 11
0.10179292323299044 4 13
0.16478842298916813 11 16
0.1289935021243246 7 14
0.32259154636625187 16 13
0.36544600623165735 16 17
0.3832956756513788 17 14
