number of nodes = 22, graph = [(6, 21), (6, 3), (6, 2), (21, 12), (21, 11), (18, 20), (18, 10), (18, 7), (20, 7), (20, 10), (4, 9), (4, 14), (4, 0), (9, 17), (9, 16), (7, 1), (12, 13), (12, 15), (13, 5), (13, 8), (5, 19), (5, 3), (0, 2), (0, 1), (2, 19), (19, 11), (17, 14), (17, 16), (8, 15), (8, 1), (15, 11), (10, 16), (14, 3)], number of qubits = 21, optimal cost = 15.761114562125565, optimal nodes sets = [(1, 2, 3, 4, 13, 15, 17, 18, 19, 20, 21), (0, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21), ()], degeneracy of worse sets = 1, ground energy = -15.761114562125565, ground state = 100001111111101010000, degeneracy of optimal solutions = 1, first excited energy = -15.46200656332943, gap = 0.2991079987961349, first excited state = 100001101101101010101, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 15.763583938905866, sdp lower bound ground energy = -15.763583938905866, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["100001111111100000000", "100001111101101000000", "100001111111101000000", "100001111111100010000", "100001111101101010000", "100001111011101010000", "100001111111101010000", "101001111111101010000", "100001111011100001000", "100011111011100001000", "100001111111100001000", "100001111011101001000", "100001111111101001000", "100001111011100011000", "100001111101101000100", "100001111101101010100", "100001101101101000101", "100001101101101010101", "100001101101100001101"]
-8.215864970327369
0.08616730564440034 6
0.21227741587206972 6 3
0.2530485746126814 6 2
0.28051803300936173 12
0.45135355263712496 11
0.15861432163719735 18 20
0.1707980206467149 18 10
0.3822767460487625 18 7
0.49268692658680435 20 7
0.07776512277912284 20 10
0.20912293607147614 4 9
0.01847521309436767 4 14
0.306714920707969 4 0
0.2480220571827369 9 17
0.12576862709436126 9 16
0.1525950266749988 7 1
0.34046668228131755 12 13
0.33084151226088654 12 15
0.2335695782271816 13 5
0.4564649132154974 13 8
0.4145266549674263 5 19
0.4835574334866947 5 3
0.16285035155975097 0 2
0.4596717793556465 0 1
0.04788371325609553 2 19
0.44243149389498726 19 11
0.18676262685702294 17 14
0.1961915135845556 17 16
0.30494232517245273 8 15
0.1708013001741438 8 1
0.2951562435532301 15 11
0.003041027276930397 10 16
0.06050102090339676 14 3
