number of nodes = 24, graph = [(18, 23), (18, 10), (18, 0), (23, 22), (23, 19), (3, 4), (3, 21), (3, 11), (4, 11), (4, 20), (12, 13), (12, 15), (12, 14), (13, 9), (13, 0), (14, 16), (14, 22), (16, 5), (16, 15), (22, 2), (5, 10), (5, 17), (10, 17), (1, 6), (1, 21), (1, 19), (6, 8), (6, 0), (9, 17), (9, 7), (2, 8), (2, 15), (8, 7), (11, 20), (20, 19), (21, 7)], number of qubits = 23, optimal cost = 17.59392284669692, optimal nodes sets = [(0, 1, 3, 5, 7, 8, 13, 14, 15, 17, 20, 23), (2, 4, 6, 9, 10, 11, 12, 16, 18, 19, 21, 22)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23), ()], degeneracy of worse sets = 1, ground energy = -17.59392284669692, ground state = 00101010011110001011011, degeneracy of optimal solutions = 1, first excited energy = -17.46254424797961, gap = 0.1313785987173084, first excited state = 00110010011010001011111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 00000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.722650991313312, sdp lower bound ground energy = -17.722650991313312, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["00001110000001110111010", "00001111000001110111010", "00001110000101110111010", "00010111000101110111010", "00001111000101110111010", "00101111000101110111010", "00010111000001110111110", "00001111000001110111110", "00010111000101110111110", "10101000111010001001011", "10101010011110001001011", "10110000111110001001011", "10101000111110001001011", "00101110010010000011011", "00110110010110000011011", "00101110010110000011011", "00001110010010010011011", "00001110010110010011011", "00110110010010001011011", "00101110010010001011011", "00111110010010001011011", "00110010011010001011011", "00001010011010001011011", "00101010011010001011011", "00111010011010001011011", "00101110011010001011011", "00100110010110001011011", "00110110010110001011011", "00101110010110001011011", "00100010011110001011011", "00110010011110001011011", "00001010011110001011011", "00101010011110001011011", "00110110011110001011011", "00101110011110001011011", "00101010011010001111011", "00110010011110001111011", "00101010011110001111011", "00101011001011001111011", "00101011001111001111011", "10110000111010001001111", "10110000111110001001111", "00110110010010000011111", "00110110010110000011111", "00110110010010001011111", "00101110010010001011111", "00110010011010001011111", "00101010011010001011111", "00111010011010001011111", "00110110011010001011111", "00100110010110001011111", "00110110010110001011111", "00100010011110001011111", "00110010011110001011111", "00101010011110001011111", "00110010011010001111111", "00110010011110001111111"]
-9.623495958485494
0.16264417231535527 18
0.0423588634065839 18 10
0.48852046431869933 18 0
0.13970748610831807 22
0.38941043438833345 19
0.3807421864206451 3 4
0.0008248383357961075 3 21
0.17077179179364055 3 11
0.28450957393100074 4 11
0.20023582110104632 4 20
0.39361001582501787 12 13
0.2776278071000153 12 15
0.4416543834120412 12 14
0.46328489150693075 13 9
0.17283849954841973 13 0
0.16740625033392836 14 16
0.42786097596881834 14 22
0.19630890911863164 16 5
0.2760653467864812 16 15
0.0772296335443115 22 2
0.37389287201146426 5 10
0.218773802311649 5 17
0.15094854683199366 10 17
0.26207708914871697 1 6
0.4463725360024468 1 21
0.38767735763051814 1 19
0.43430896536731234 6 8
0.48446112183237133 6 0
0.3820963358435122 9 17
0.3584204978005783 9 7
0.12036987345655031 2 8
0.34107706830227874 2 15
0.03082416239507335 8 7
0.14462918592078877 11 20
0.06486446102285781 20 19
0.26908973734337044 21 7
