number of nodes = 24, graph = [(7, 23), (7, 6), (7, 11), (23, 18), (23, 1), (18, 14), (18, 21), (12, 16), (12, 19), (12, 0), (16, 9), (16, 13), (19, 21), (19, 22), (0, 5), (0, 13), (5, 21), (5, 20), (3, 22), (3, 6), (3, 15), (22, 4), (2, 8), (2, 14), (2, 10), (8, 11), (8, 1), (10, 15), (10, 9), (15, 11), (14, 17), (6, 9), (4, 20), (4, 13), (20, 17), (17, 1)], number of qubits = 23, optimal cost = 16.8928522892405, optimal nodes sets = [(2, 5, 6, 9, 11, 12, 13, 17, 18, 22, 23), (0, 1, 3, 4, 7, 8, 10, 14, 15, 16, 19, 20, 21)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23), ()], degeneracy of worse sets = 1, ground energy = -16.8928522892405, ground state = 11011001101000111001110, degeneracy of optimal solutions = 1, first excited energy = -16.690230651008683, gap = 0.20262163823181822, first excited state = 11010001101000111001110, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 00000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.495326824926725, sdp lower bound ground energy = -17.495326824926725, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["01111101110011010011000", "01011101110010110011000", "01011101110011110011000", "01011101111011110011000", "11011101100000111011000", "11011001101000111011000", "01011101101000111011000", "11011101101000111011000", "01011101101010111011000", "01111101010110000111000", "01111101010111000111000", "01111101010010010111000", "00011101110010010111000", "01011101110010010111000", "00111101110010010111000", "01111101110010010111000", "00011101111010010111000", "00111101111010010111000", "01111101010011010111000", "00110101110011010111000", "01110101110011010111000", "00011101110011010111000", "01011101110011010111000", "00111101110011010111000", "01111101110011010111000", "00011101111011010111000", "01011101111011010111000", "00111101111011010111000", "01111101111011010111000", "11111001001100001111000", "01111101001100001111000", "11111101001100001111000", "11111101000000011111000", "10011001100000011111000", "11011001100000011111000", "10111001100000011111000", "11111001100000011111000", "00011101100000011111000", "10011101100000011111000", "11011101100000011111000", "00111101100000011111000", "10111101100000011111000", "01111101100000011111000", "11111101100000011111000", "10111001110000011111000", "10111101110000011111000", "11111001001000011111000", "11111101001000011111000", "10011001101000011111000", "11011001101000011111000", "10111001101000011111000", "11111001101000011111000", "00011101101000011111000", "10011101101000011111000", "01011101101000011111000", "11011101101000011111000", "00111101101000011111000", "10111101101000011111000", "01111101101000011111000", "11111101101000011111000", "00011101100010011111000", "00111101100010011111000", "01111101100010011111000", "00011101101010011111000", "01011101101010011111000", "00111101101010011111000", "01111101101010011111000", "11011001101000111001100", "11010001110001110011100", "11010001111001110011100", "11111001001100001011100", "11111001100000011011100", "11010001101000011011100", "11110001101000011011100", "11011001101000011011100", "11111001101000011011100", "11010001100000111011100", "11011001100000111011100", "11010001101000111011100", "11011001101000111011100", "11010001101001111011100", "10110001110001010111100", "10111001100000011111100", "11111001100000011111100", "10010001101000011111100", "10110001101000011111100", "10011001101000011111100", "11011001101000011111100", "10111001101000011111100", "11111001101000011111100", "01011101110011110000010", "01011101110010110001010", "01011101110011110001010", "01011101111011110001010", "11011001100000111001010", "11011101100000111001010", "11011001101000111001010", "01011101101000111001010", "11011101101000111001010", "01011101101010111001010", "11011001101000111000110", "11010001110001110001110", "11010001111001110001110", "01010001110011110001110", "11011001001100101001110", "11010001100000111001110", "11011001100000111001110", "11111001100000111001110", "11010001110000111001110", "11011001110000111001110", "11011001001000111001110", "11010001101000111001110", "11011001101000111001110", "11111001101000111001110", "11011001111000111001110", "11010001100001111001110", "11010001101001111001110", "01100110010111000110001", "00110101110011010110001", "01000101110011110000011", "01010101110011110000011", "01011101110011110000011", "01010101111011110000011", "11000001110001110000111", "11010001110001110000111", "11010001111001110000111", "01000001110011110000111", "11000001110011110000111", "01010001110011110000111", "11010001110011110000111", "01000101110011110000111", "01010101110011110000111", "01000011110011110000111", "11000011110011110000111", "01000111110011110000111", "01000001111011110000111", "01010001111011110000111", "11010001111011110000111", "01000101111011110000111", "01010101111011110000111", "11000010001100101000111", "11000001100000111000111", "11010001100000111000111", "11000001101000111000111", "11010001101000111000111", "11011001101000111000111", "11000011101000111000111", "11010001100001111000111", "11000001101001111000111", "11010001101001111000111", "11000011101001111000111"]
-9.307169309024331
0.4078012852350438 7
0.36542174609638367 7 6
0.381436269863752 7 11
0.194188557799431 18
0.339472507365453 1
0.3699348036442257 18 14
0.38925101073943463 18 21
0.3351223933000115 12 16
0.14974482221077384 12 19
0.4604379071980271 12 0
0.2972126066262998 16 9
0.31990077663467203 16 13
0.12064119512136623 19 21
0.3747653358906328 19 22
0.45807076042715333 0 5
0.0804502156847634 0 13
0.05356064013677442 5 21
0.43006147986532267 5 20
0.21344055826543 3 22
0.30779112826765537 3 6
0.004585895136245854 3 15
0.16509482089773597 22 4
0.1423352699638979 2 8
0.1925392840731106 2 14
0.0535557814376279 2 10
0.39349456474262995 8 11
0.12075765351624135 8 1
0.03405358723606311 10 15
0.11675269023885998 10 9
0.48531098370736386 15 11
0.38589123200969755 14 17
0.0012252186768771378 6 9
0.38529105691785537 4 20
0.3215070551360298 4 13
0.15511619653262027 20 17
0.3009520184288678 17 1
