number of nodes = 24, graph = [(18, 23), (18, 17), (18, 11), (23, 8), (23, 14), (5, 19), (5, 6), (5, 9), (19, 7), (19, 13), (17, 0), (17, 3), (2, 11), (2, 4), (2, 22), (11, 6), (0, 1), (0, 10), (10, 21), (10, 14), (21, 12), (21, 9), (1, 15), (1, 22), (15, 20), (15, 3), (6, 16), (13, 20), (13, 16), (20, 4), (7, 12), (7, 8), (12, 3), (9, 16), (4, 22), (8, 14)], number of qubits = 23, optimal cost = 17.38816790171346, optimal nodes sets = [(0, 5, 7, 11, 15, 16, 17, 20, 21, 22, 23), (1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 14, 18, 19)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23), ()], degeneracy of worse sets = 1, ground energy = -17.38816790171346, ground state = 01111010111011100011000, degeneracy of optimal solutions = 1, first excited energy = -17.15917658922437, gap = 0.22899131248908944, first excited state = 01111010111001100011000, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 00000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.68002143924855, sdp lower bound ground energy = -17.68002143924855, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["01111011111001000010000", "01111010111011000010000", "01111011011001100010000", "01111010111001100010000", "01111011111001100010000", "01111010111011100010000", "01111010111001000011000", "01111011111001000011000", "01111010111011000011000", "01111011011001100011000", "01111010111001100011000", "01111011111001100011000", "01111010111011100011000", "01101010111011100111000", "01101010111011110111000", "01110010111010101011100", "01111010111010101011100", "01111111100001100010010", "11111111100001100010010", "10000100100110111100111", "10010101000100101010111", "10010101100100101010111", "01010101100100101010111", "10010101100100111010111", "10000100100110111010111", "10000100100110111110111", "10000100100110111101111", "10010100100100101011111", "10010101100100101011111", "10000100100110111011111", "10000100100110111111111"]
-9.366708450245184
0.4086187724294452 18
0.36985151736628924 18 17
0.13274944558054091 18 11
0.42820876913154526 8
0.4428441594443783 14
0.03603702799788144 5 19
0.1652729653691734 5 6
0.3971373039967298 5 9
0.12340176906064015 19 7
0.02904450162484329 19 13
0.060584129947265586 17 0
0.48516099185208966 17 3
0.20290667907286186 2 11
0.04206875970573509 2 4
0.27923618884284757 2 22
0.37994760429736063 11 6
0.33123190720161544 0 1
0.17868530830245927 0 10
0.40044670608169797 10 21
0.05891505471000469 10 14
0.09275832101938564 21 12
0.42324474560533315 21 9
0.43535745978429335 1 15
0.3040152132164754 1 22
0.07386754576692345 15 20
0.43570288612730346 15 3
0.02015875789144972 6 16
0.37939718630162844 13 20
0.4078236102237202 13 16
0.34188226664002835 20 4
0.33393703412993775 7 12
0.21251442113746605 7 8
0.3121996989047795 12 3
0.16362246689999693 9 16
0.38193246585215507 4 22
0.09594480872890326 8 14
