number of nodes = 24, graph = [(18, 23), (18, 4), (18, 21), (23, 7), (23, 3), (6, 15), (6, 1), (6, 3), (15, 3), (15, 16), (7, 22), (7, 11), (12, 19), (12, 8), (12, 0), (19, 0), (19, 8), (14, 16), (14, 11), (14, 10), (16, 5), (5, 2), (5, 9), (4, 10), (4, 13), (8, 10), (17, 21), (17, 2), (17, 1), (21, 9), (1, 20), (2, 20), (11, 22), (0, 20), (22, 13), (9, 13)], number of qubits = 23, optimal cost = 17.35304958208466, optimal nodes sets = [(0, 1, 2, 4, 8, 9, 14, 15, 16, 21, 22, 23), (3, 5, 6, 7, 10, 11, 12, 13, 17, 18, 19, 20)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23), ()], degeneracy of worse sets = 1, ground energy = -17.35304958208466, ground state = 00010111001111000111100, degeneracy of optimal solutions = 1, first excited energy = -17.309085091692626, gap = 0.043964490392035316, first excited state = 00010111001111001111100, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 00000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.75039412758066, sdp lower bound ground energy = -17.75039412758066, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["10110111101101000110000", "10110010101101001110000", "11110001101101001110000", "10100011101101001110000", "10110011101101001110000", "10110111101101001110000", "11110001111101001110000", "10110011111101001110000", "10110011101111001110000", "00110011001111001111000", "00110011011111001111000", "10010111101101000110100", "10000111101101010110100", "10010111101101001110100", "00010111001101000111100", "00010110001111000111100", "00010101001111000111100", "01010101001111000111100", "00000111001111000111100", "00010111001111000111100", "00010111001011100111100", "00010111001111100111100", "00000111001101010111100", "00000110001111010111100", "00000101001111010111100", "01000101001111010111100", "00010101001111010111100", "01010101001111010111100", "00000111001111010111100", "00010111001111010111100", "01000101001011110111100", "00000111001011110111100", "00010111001101001111100", "00010110001111001111100", "00010101001111001111100", "01010101001111001111100", "00010011001111001111100", "00110011001111001111100", "00000111001111001111100", "00010111001111001111100", "00010011011111001111100", "00000111001111011111100", "11110001101101001010010", "10110011101101001010010", "01010101001111000011110", "01000101001111010011110", "01010101001111010011110", "01010101001111001011110", "10111011110000101110001", "11111001110000101000011"]
-9.459308395760193
0.3215125436378614 18
0.3782577367496212 18 4
0.2665128152929755 18 21
0.2448204413440464 7
0.129930074166126 3
0.21573957997507603 6 15
0.31100517006131206 6 1
0.14331194817683196 6 3
0.3267086240683994 15 3
0.1723806304945968 15 16
0.2135777869713485 7 22
0.12614463310961904 7 11
0.05643233229536798 12 19
0.1748566095589636 12 8
0.22690873737856504 12 0
0.48180484971079546 19 0
0.3045278199241445 19 8
0.23993669563358527 14 16
0.3896504107175457 14 11
0.2626703263526426 14 10
0.4342995713241989 16 5
0.24118589841572102 5 2
0.3270640437587557 5 9
0.4147949691260221 4 10
0.4603373988301076 4 13
0.07682533120950369 8 10
0.39771309397038584 17 21
0.05579839518319374 17 2
0.17513926367008897 17 1
0.04457736500785986 21 9
0.033073280420628126 1 20
0.36805248970759413 2 20
0.36882868291621257 11 22
0.25156027053827534 0 20
0.341382417660002 22 13
0.48198615840221637 9 13
