number of nodes = 24, graph = [(7, 23), (7, 10), (7, 19), (23, 20), (23, 14), (12, 16), (12, 13), (12, 11), (16, 1), (16, 11), (20, 17), (20, 10), (1, 15), (1, 8), (13, 9), (13, 18), (4, 15), (4, 2), (4, 0), (15, 22), (9, 14), (9, 18), (14, 3), (0, 5), (0, 11), (5, 21), (5, 8), (2, 17), (2, 21), (17, 22), (10, 6), (19, 6), (19, 8), (18, 22), (3, 6), (3, 21)], number of qubits = 23, optimal cost = 16.33053584618223, optimal nodes sets = [(1, 3, 4, 5, 9, 10, 11, 13, 19, 22, 23), (0, 2, 6, 7, 8, 12, 14, 15, 16, 17, 18, 20, 21)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23), ()], degeneracy of worse sets = 1, ground energy = -16.33053584618223, ground state = 10100011100010111110110, degeneracy of optimal solutions = 1, first excited energy = -16.271997867667434, gap = 0.0585379785147957, first excited state = 10100011110010011000111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 00000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 16.63221296722654, sdp lower bound ground energy = -16.63221296722654, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["01011100001101100111000", "10110111110010011110100", "10100111100010111110100", "10110111100010111110100", "01001011000101100110010", "10100011110010011110010", "10000011100010111110010", "10100011100010111110010", "10100011110010011100110", "10100011110010011010110", "10000011100010111010110", "10100011100010111010110", "01001011000101100110110", "01001011100101100110110", "10100011110010011110110", "10000011100010111110110", "10100011100010111110110", "10100011100001111110110", "10100011100011111110110", "01011101010101000000101", "01011111010101000000101", "01001111000101100000101", "10110101110010011000101", "10100111110010011000101", "10110111110010011000101", "10100111100010111010101", "01011100011101000001101", "01111100011101000001101", "01011100001101100001101", "10110100111010011001101", "01001011010101000000111", "01001011110101000000111", "01001011000101100000111", "01001111000101100000111", "01001011100101100000111", "01001011010101100000111", "10000011110010011000111", "10100011110010011000111", "10100011110001011000111", "10100011110011011000111", "10100011100010111000111", "10100011110010111000111", "10100011100001111000111", "10100011100011111000111", "01001011000101100010111", "01001011100101100010111", "10100011110010011010111", "10000011100010111010111", "10100011100010111010111", "10100011100001111010111", "10100011100011111010111", "01001011000101100001111", "01001000001101100001111"]
-8.726023678714297
0.1938572007572265 7
0.38149435696091016 7 10
0.48796927846122556 7 19
0.22446011066744115 20
0.04826753507404291 14
0.058338835261979194 12 16
0.344161623860372 12 13
0.3779622836572678 12 11
0.3927442072434797 16 1
0.3642716719399464 16 11
0.21608189205567135 20 17
0.11138394079181196 20 10
0.28600320986456235 1 15
0.3655607104519469 1 8
0.12877186221609405 13 9
0.10374816237522266 13 18
0.4783574505970415 4 15
0.32622436597168003 4 2
0.32418107319185524 4 0
0.11848720103087823 15 22
0.3832622054692772 9 14
0.2050956977507053 9 18
0.13809426028242577 14 3
0.09784167132823268 0 5
0.3178615574916673 0 11
0.40587881763908623 5 21
0.014304628720176515 5 8
0.03447441523340694 2 17
0.12308875085602972 2 21
0.38669987813772244 17 22
0.2536304855307749 10 6
0.05831349779402173 19 6
0.21428239967156032 19 8
0.21250065194397239 18 22
0.24485969219429166 3 6
0.30350809624028835 3 21
