number of nodes = 28, graph = [(2, 27), (2, 4), (2, 16), (27, 26), (27, 7), (7, 17), (7, 19), (17, 24), (17, 26), (6, 15), (6, 20), (6, 22), (15, 4), (15, 3), (26, 12), (12, 16), (12, 13), (16, 14), (13, 18), (13, 22), (14, 10), (14, 5), (4, 1), (5, 19), (5, 23), (19, 1), (0, 24), (0, 23), (0, 25), (24, 8), (9, 11), (9, 3), (9, 21), (11, 10), (11, 3), (8, 23), (8, 25), (1, 18), (18, 21), (20, 22), (20, 21), (10, 25)], number of qubits = 27, optimal cost = 19.963745679749557, optimal nodes sets = [(3, 4, 6, 11, 13, 14, 16, 17, 19, 21, 23, 24, 25, 27), (0, 1, 2, 5, 7, 8, 9, 10, 12, 15, 18, 20, 22, 26)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27), ()], degeneracy of worse sets = 1, ground energy = -19.963745679749557, ground state = 111001011110100100101010001, degeneracy of optimal solutions = 1, first excited energy = -19.600779947733635, gap = 0.3629657320159225, first excited state = 111001001110100101101010001, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 20.05354000853626, sdp lower bound ground energy = -20.05354000853626, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["111001011110100100101010000", "111001001110100101101010000", "111001011110100101101010000", "001110000001101001111011110", "111001111110010100001000001", "111001111110110100001000001", "111001111110010110001000001", "111101111010010000000100001", "111101111010110000000100001", "111001111110010100000100001", "111001111110110100000100001", "111101111010010010000100001", "111001111110010110000100001", "111001101110010111000100001", "111001011110100100100010001", "111001011110100100001010001", "111001011110000100101010001", "111001010110100100101010001", "111001011110100100101010001", "111001011111100100101010001", "111001011110101100101010001", "111001011110000110101010001", "111001001110100101101010001", "111001011110100101101010001", "111001011110100100100110001", "111001011110100100101011001", "111001011110100100101010101", "011101110001011000000100111", "011101110001111000000100111", "011001010100101100101010111", "011001010101101100101010111", "001110110001011000010101111", "001110110001111000010101111", "000110110001011010010101111", "001110110001011010010101111", "001110100001011001010101111", "001110100001111001010101111", "000110100001011011010101111", "011000010101101100101011111", "011001010101101100101011111", "001110010001101000111011111", "001000010101101100111011111", "011000010101101100111011111", "001010010101101100111011111", "001110000001101001111011111", "001110010001101000110111111", "001110110001101000110111111"]
-10.51713682533623
0.3854547748562735 2
0.20253665208259775 2 4
0.37483089653293794 2 16
0.3073097038738563 26
0.056983307050567644 7
0.3571323548477326 7 17
0.08872346017139793 7 19
0.07654613715501957 17 24
0.11232223594101554 17 26
0.05465242733078124 6 15
0.22860279085513097 6 20
0.3709716763434028 6 22
0.17410004812278512 15 4
0.4722267218752914 15 3
0.13247095776516693 26 12
0.311320784639428 12 16
0.19036240909356356 12 13
0.10156245755771676 16 14
0.27355768309951356 13 18
0.4581018918745764 13 22
0.43497872962734085 14 10
0.13959164427917975 14 5
0.38585628663153243 4 1
0.49797481620271944 5 19
0.3130864307460899 5 23
0.3256967810657726 19 1
0.39862601237795814 0 24
0.14287265349488476 0 23
0.45200839469051557 0 25
0.08026449705808641 24 8
0.2734429115753116 9 11
0.4519880692663631 9 3
0.18363777732800335 9 21
0.30520310697595143 11 10
0.10006185470117773 11 3
0.028856784534937174 8 23
0.2893882635576417 8 25
0.0760720695015411 1 18
0.12116840747696345 18 21
0.048550508780828894 20 22
0.2941453221929343 20 21
0.4438961322017407 10 25
