number of nodes = 28, graph = [(13, 27), (13, 21), (13, 16), (27, 7), (27, 11), (7, 26), (7, 18), (26, 10), (26, 5), (3, 25), (3, 23), (3, 0), (25, 23), (25, 4), (8, 9), (8, 4), (8, 14), (9, 21), (9, 18), (23, 16), (5, 22), (5, 15), (22, 16), (22, 2), (10, 12), (10, 15), (12, 1), (12, 24), (19, 21), (19, 24), (19, 1), (2, 11), (2, 6), (11, 24), (15, 20), (1, 14), (6, 20), (6, 0), (20, 17), (4, 17), (17, 14), (18, 0)], number of qubits = 27, optimal cost = 21.775453615705022, optimal nodes sets = [(0, 2, 4, 9, 12, 14, 15, 16, 19, 20, 24, 25, 26, 27), (1, 3, 5, 6, 7, 8, 10, 11, 13, 17, 18, 21, 22, 23)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27), ()], degeneracy of worse sets = 1, ground energy = -21.775453615705022, ground state = 010101111011010001100111000, degeneracy of optimal solutions = 1, first excited energy = -21.61093794435055, gap = 0.1645156713544722, first excited state = 010101111011010001100111100, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 22.15040096981232, sdp lower bound ground energy = -22.15040096981232, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["010111110111010001010011000", "010101111011010001110011000", "010111111011010001110011000", "100011010111011000011011000", "100111010111011000011011000", "000111110111011000011011000", "101011010110111000011011000", "101111010110111000011011000", "100011010101111000011011000", "100011010111111000011011000", "101011010111111000011011000", "100111010111111000011011000", "100011110111111000011011000", "000111110111111000011011000", "100010010101111100011011000", "000111110011111000111011000", "000111111011111000111011000", "000111110111111000111011000", "010101111011000001100111000", "010111110011010001100111000", "010101111011010001100111000", "010111111011010001100111000", "011101111010000011100100100", "101011010110111000011011100", "101111010110111000011011100", "100011010111111000011011100", "100111010111111000011011100", "010101111010010001100111100", "011101111010010001100111100", "010111110011010001100111100", "010101111011010001100111100", "010111111011010001100111100", "101011010110101010011000010", "100011010111101010011000010", "101011010111101010011000010", "101011010110111010011000010", "010001111011000011100100010", "010101111011000011100100010", "100011010111111000011010010", "010001111011010001100110010", "010101111011010001100110010", "100011010111011000011011010", "100001010111111000011011010", "100011010111111000011011010", "010001111011010001100111010", "101011010110001010011000110", "101001010110101010011000110", "101011010110101010011000110", "101011010110111010011000110", "111001011010000011100100110", "011001111010000011100100110", "011101111010000011100100110", "010101111011000011100100110", "011101111010010011100100110", "111011010110001010001100110", "101011010110101010001100110", "010101111011010001100110110", "010001111011010001100111110", "000110100101111100010011001", "010100101001010101110011001", "000100101001110101110011001", "000100101001111101110011001", "100010000101111100011011001", "100110000101111100011011001", "000110100101111100011011001", "100010010101111100011011001", "100110010101111100011011001", "000110101001111100111011001", "000110100101111100111011001", "010100101001010101100111001", "010110101001010101100111001", "010100111001010101100111001", "010100101001110101100111001", "101010000100111100011011101", "010100101001010101100111101", "010100111001010101100111101", "101010000100101110011000011", "100010000101111100011011011", "101010000100101110011000111", "011100101000000111100100111"]
-11.662141482202058
0.1701061615132296 13
0.035557355131668966 13 21
0.3679134484272812 13 16
0.20467806654466653 7
0.08710801631986076 11
0.40266512550463884 7 26
0.020657908494391197 7 18
0.21306445558359277 26 10
0.29475198698070654 26 5
0.46606617385561216 3 25
0.22656605963457432 3 23
0.30976933691699615 3 0
0.4639316135143166 25 23
0.19719365283411167 25 4
0.34430982278039246 8 9
0.24596890603661037 8 4
0.04059184398006538 8 14
0.18799870704371358 9 21
0.48532355626506307 9 18
0.4065779696409311 23 16
0.0075239281531314095 5 22
0.4014317618555757 5 15
0.47894673860503495 22 16
0.24385973995422255 22 2
0.18882393015658572 10 12
0.3971638056384056 10 15
0.4292454471030199 12 1
0.007517933838228852 12 24
0.4570710215601811 19 21
0.14127260532185032 19 24
0.24839153569411299 19 1
0.38600419951306625 2 11
0.18165301760390506 2 6
0.2310483748373185 11 24
0.13812523094158952 15 20
0.43529536074963954 1 14
0.2508329345267027 6 20
0.3855828730941396 6 0
0.4773214026832651 20 17
0.20843801421381186 4 17
0.4417421877375068 17 14
0.3540492714183406 18 0
