number of nodes = 28, graph = [(24, 27), (24, 7), (24, 13), (27, 25), (27, 16), (6, 21), (6, 20), (6, 5), (21, 12), (21, 26), (4, 9), (4, 7), (4, 22), (9, 0), (9, 15), (7, 26), (26, 20), (3, 10), (3, 5), (3, 14), (10, 23), (10, 19), (20, 14), (14, 16), (16, 1), (8, 12), (8, 2), (8, 23), (12, 5), (17, 18), (17, 11), (17, 23), (18, 13), (18, 0), (0, 11), (11, 19), (2, 22), (2, 25), (19, 1), (13, 15), (22, 1), (15, 25)], number of qubits = 27, optimal cost = 17.669071382600716, optimal nodes sets = [(0, 1, 2, 4, 5, 7, 8, 10, 13, 14, 15, 17, 19, 20, 21, 27), (3, 6, 9, 11, 12, 16, 18, 22, 23, 24, 25, 26)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27), ()], degeneracy of worse sets = 1, ground energy = -17.669071382600716, ground state = 000100100101100010100011111, degeneracy of optimal solutions = 1, first excited energy = -17.587717840790702, gap = 0.08135354181001375, first excited state = 000100100101100010110011111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.951018692464807, sdp lower bound ground energy = -17.951018692464807, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["100001011110011001011110010", "100001011010010011011110010", "100011011010010011011110010", "100100011110010011011110010", "100001011110010011011110010", "100101011110010011011110010", "100011011110010011011110010", "100100010110110011011110010", "100100011110110011011110010", "100001011010011011011110010", "100011011010011011011110010", "100001011110011011011110010", "100011011110011011011110010", "100001011010010111011110010", "100011011010010111011110010", "100001011010011111011110010", "100011011010011111011110010", "010001011101011000101111010", "000001011101010010101111010", "000101011101010010101111010", "000100010101110010101111010", "000100011101110010101111010", "000001011101011010101111010", "000001011101010010111111010", "000101011101010010111111010", "000100010101110010111111010", "000001011101011010111111010", "010001011101001000101111110", "000001011101000010101111110", "000101011101000010101111110", "000100010101100010101111110", "000001011101001010101111110", "000001011101000010111111110", "000100010101100010111111110", "000001011101001010111111110", "010001101111001000100010111", "000100100111100010100010111", "000100101111100010100010111", "000001101111001010100010111", "100100100110100011010010111", "100100101110100011010010111", "100001101110001011010010111", "000100100111100010110010111", "010100100101100000100001111", "011100100101100000100001111", "010110100101100000100001111", "011110100101100000100001111", "010001101101001000100001111", "010011101101001000100001111", "010100100101101000100001111", "011100100101101000100001111", "010110100101101000100001111", "011110100101101000100001111", "011100100101100010100001111", "010110100101100010100001111", "011110100101100010100001111", "000100100101100000100011111", "010100100101100000100011111", "010110100101100000100011111", "010100101101100000100011111", "010001100101001000100011111", "000001101101001000100011111", "010001101101001000100011111", "010011101101001000100011111", "010001101111001000100011111", "010000100101101000100011111", "000100100101101000100011111", "010100100101101000100011111", "010110100101101000100011111", "010100101101101000100011111", "000100101101000010100011111", "000110101101000010100011111", "000001101101000010100011111", "000100100101100010100011111", "010100100101100010100011111", "000110100101100010100011111", "010110100101100010100011111", "000100101101100010100011111", "010100101101100010100011111", "000110101101100010100011111", "000100100111100010100011111", "000001101101001010100011111", "000011101101001010100011111", "000000100101101010100011111", "000100100101101010100011111", "000110100101101010100011111", "000100101101101010100011111", "000100100101100000110011111", "000001101101001000110011111", "000100100101101000110011111", "000100101101000010110011111", "000001101101000010110011111", "000100100100100010110011111", "000110100100100010110011111", "000100101100100010110011111", "000100100101100010110011111", "000110100101100010110011111", "000100101101100010110011111", "000110101101100010110011111", "000100100111100010110011111", "000001101100001010110011111", "000001101101001010110011111", "000011101101001010110011111", "000000100101101010110011111", "000100100101101010110011111", "000110100101101010110011111", "000100101101101010110011111"]
-9.299336454798572
0.10542830108997236 24
0.3487405444059642 24 7
0.3285645179222519 24 13
0.4898637282479465 25
0.061115464709545764 16
0.25090062553057685 6 21
0.1762068801004607 6 20
0.14378317261258794 6 5
0.0553500397742015 21 12
0.3452110198614035 21 26
0.12299104183072185 4 9
0.04994902478943081 4 7
0.0818634775039816 4 22
0.2336383984017652 9 0
0.38512479766011487 9 15
0.4213088888469936 7 26
0.3764213886431686 26 20
0.0389099919163976 3 10
0.30296214278789646 3 5
0.2143373023818243 3 14
0.3147512785517396 10 23
0.011494059284878066 10 19
0.11010259266553846 20 14
0.11970784479944419 14 16
0.21700477778225236 16 1
0.19627895786513372 8 12
0.1064647939734048 8 2
0.048987939536612124 8 23
0.2741446289377518 12 5
0.34492096670105626 17 18
0.11448878122001349 17 11
0.29820600476104164 17 23
0.1638088389649081 18 13
0.39451049632983903 18 0
0.3167391590533948 0 11
0.23190395174621742 11 19
0.323080160198005 2 22
0.3946386693152188 2 25
0.17973312155633164 19 1
0.00705717122863142 13 15
0.22491337800713718 22 1
0.3737281333028183 15 25
