number of nodes = 28, graph = [(2, 27), (2, 25), (2, 3), (27, 13), (27, 25), (13, 14), (13, 9), (6, 21), (6, 7), (6, 19), (21, 14), (21, 0), (20, 26), (20, 22), (20, 24), (26, 1), (26, 5), (4, 18), (4, 8), (4, 11), (18, 10), (18, 7), (12, 25), (12, 8), (12, 9), (0, 5), (0, 23), (5, 14), (8, 19), (1, 3), (1, 15), (3, 24), (10, 24), (10, 23), (23, 9), (15, 17), (15, 16), (17, 22), (17, 16), (16, 22), (11, 19), (11, 7)], number of qubits = 27, optimal cost = 17.140644982863297, optimal nodes sets = [(0, 3, 6, 8, 9, 10, 11, 14, 15, 16, 18, 20, 25, 26, 27), (1, 2, 4, 5, 7, 12, 13, 17, 19, 21, 22, 23, 24)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27), ()], degeneracy of worse sets = 1, ground energy = -17.140644982863297, ground state = 011011010000110001010111100, degeneracy of optimal solutions = 1, first excited energy = -17.078161590781907, gap = 0.062483392081389866, first excited state = 011011010000110001010111110, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 17.268966578741306, sdp lower bound ground energy = -17.268966578741306, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["001111010010110110011101000", "011011010000110011011101000", "011011010010110011011101000", "011111010010110011011101000", "011011010000110011010101100", "011011010000110010011101100", "011011010000110011011101100", "011011010000110001010011100", "111011010000110001010011100", "011001101001010001100111100", "011001101001110001100111100", "001011010000110100010111100", "011011010000110100010111100", "011011010000110010010111100", "011011010000110001010111100", "111011010000110001010111100", "011011110000110001010111100", "011011000001110001010111100", "011011010000111001010111100", "001011010000110101010111100", "011011010000110101010111100", "011011010000110011010111100", "011001000001110001110111100", "111001101111010011101000010", "001111010010110110011101010", "011011010000110011011101010", "011011010010110011011101010", "011111010010110011011101010", "011011010000110011010101110", "011011010000110010011101110", "011011010000110011011101110", "111011010000110001010011110", "011001101001010001100111110", "011001101001110001100111110", "001011010000110100010111110", "011011010000110100010111110", "011011010000110001010111110", "111011010000110001010111110", "011011110000110001010111110", "011011000001110001010111110", "011011010000111001010111110", "001011010000110101010111110", "011011010000110011010111110", "011001000001110001110111110", "001010010000111100010011101", "101010010000111100010011101", "011010010000111001010011101", "111010010000111001010011101", "001010010000110100010111101", "001011010000110100010111101", "001010010000111100010111101", "011010010000110001010111101", "011011010000110001010111101", "011010010000111001010111101", "001010010000110101010111101", "001010010000111101010111101", "101100101111011110101000011", "101000101001011100100011111", "111000101001011001100011111", "001010010000111100010011111", "101010010000111100010011111", "111010010000111001010011111", "001010010000110100010111111", "001011010000110100010111111", "001010010000111100010111111", "011010010000110001010111111", "011011010000110001010111111", "011010010000111001010111111", "001010010000110101010111111", "001010010000111101010111111"]
-9.292857101635924
0.4888671825167872 2
0.19986528604452813 2 25
0.16360359093670718 2 3
0.45856526874987463 13
0.23068027280614012 25
0.04055407748688611 13 14
0.19965621315015314 13 9
0.09000190279797687 6 21
0.08538175426579242 6 7
0.1770723479706397 6 19
0.10138884452710328 21 14
0.21959112906077904 21 0
0.06169952931611977 20 26
0.34621026388812337 20 22
0.3205518185185066 20 24
0.0969401630503719 26 1
0.3419047630971079 26 5
0.3712697622392632 4 18
0.3182079514572941 4 8
0.09932940455633221 4 11
0.07769584480372621 18 10
0.15318214101422123 18 7
0.06205668280230958 12 25
0.2738054296905632 12 8
0.28505715308617874 12 9
0.013452737043893548 0 5
0.16422339503380795 0 23
0.21294735430091172 5 14
0.2442313800651723 8 19
0.0884896579952068 1 3
0.2848950077737551 1 15
0.18186509802879886 3 24
0.2660434737788426 10 24
0.27488766156318334 10 23
0.48568240886223335 23 9
0.45108797826029656 15 17
0.32435595365774983 15 16
0.028103009620539132 17 22
0.3560357417001964 17 16
0.3224199735482926 16 22
0.03782506301273042 11 19
0.29317242955682515 11 7
