number of nodes = 28, graph = [(24, 27), (24, 10), (24, 2), (27, 15), (27, 1), (15, 14), (15, 11), (3, 7), (3, 8), (3, 17), (7, 25), (7, 6), (12, 22), (12, 18), (12, 20), (22, 14), (22, 2), (5, 16), (5, 25), (5, 6), (16, 4), (16, 23), (14, 21), (25, 4), (9, 11), (9, 13), (9, 2), (11, 26), (0, 17), (0, 21), (0, 18), (17, 19), (10, 21), (10, 6), (26, 13), (26, 19), (13, 18), (1, 8), (1, 20), (4, 23), (23, 8), (19, 20)], number of qubits = 27, optimal cost = 18.230997559053833, optimal nodes sets = [(0, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 19, 23, 27), (1, 6, 8, 9, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26)], degeneracy of optimal sets = 1, worse cost = -0.0, worse nodes sets = [(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27), ()], degeneracy of worse sets = 1, ground energy = -18.230997559053833, ground state = 010000101100000111101110111, degeneracy of optimal solutions = 1, first excited energy = -18.195124362152644, gap = 0.035873196901189175, first excited state = 010100100100000101101111111, degeneracy of first excited solutions = 1, maximum energy = 0.0, maximum solution = 000000000000000000000000000, degeneracy of worse solutions = 1, sdp upper bound of optimal cost = 18.481850415236096, sdp lower bound ground energy = -18.481850415236096, sdp lower bound of worst cost = 0, sdp upper bound of maximum energy = 0, approximation ratio larger than 95 = ["111111010011111000010000000", "110111010011111010010000000", "111111010011111010010000000", "111011011011111010010000000", "111111011011111010010000000", "111111010011111110010000000", "111111000011111000010001000", "111101010011111000010001000", "111011010011111000010001000", "110111010011111000010001000", "111111010011111000010001000", "111011011011111000010001000", "111111011011111000010001000", "111111010011111100010001000", "111100000011111000010001010", "110101000011111000010001010", "111101000011111000010001010", "111100100011111000010001010", "111101000011111100010001010", "111100100001111010010100110", "111100101001111010010100110", "110100100001111000010101110", "111100100001111000010101110", "111100100001111100010101110", "111100100001111010010101110", "110100100001010000010111110", "111100100001010000010111110", "110100100001010100010111110", "111100100001010100010111110", "010011011110101111101000001", "011011011110101111101000001", "010011011110000101101010001", "010011010110000111101010001", "010011011110000111101010001", "011011011110000111101010001", "110111010110101100010001001", "010011010110000101101011001", "011011010110000101101011001", "010111010110000101101011001", "010011011110000101101011001", "010010110100000111101110101", "010110110100000111101110101", "010010101100000111101110101", "010011011100000111101110101", "000010111100000111101110101", "010010111100000111101110101", "011010111100000111101110101", "010011111100000111101110101", "010011010100000101101111101", "010011110100000101101111101", "010000101100101111101100111", "010000101100000111100110111", "010000101100000111001110111", "010000100100000111101110111", "011000100100000111101110111", "010100100100000111101110111", "011100100100000111101110111", "000000101100000111101110111", "010000101100000111101110111", "011000101100000111101110111", "010100101100000111101110111", "010010101100000111101110111", "010000111100000111101110111", "110100100100101100010101111", "010000100100101101101101111", "010100100100101101101101111", "110100100100000100010111111", "110100100100000100001111111", "010000100100000101001111111", "010100100100000101001111111", "010000100100000101101111111", "011000100100000101101111111", "010100100100000101101111111", "011100100100000101101111111", "010001100100000101101111111", "010101100100000101101111111", "010000110100000101101111111", "000000101100000101101111111", "010000101100000101101111111", "011000101100000101101111111", "010100101100000101101111111", "010000111100000101101111111", "010000100100000111101111111", "011000100100000111101111111", "010100100100000111101111111", "011100100100000111101111111", "010000101100000111101111111"]
-9.509733511995446
0.06549736073852114 24
0.4858466429275557 24 10
0.04415224133950352 24 2
0.1294822246851744 15
0.40299463723041906 1
0.0885902776491696 15 14
0.25166795541681475 15 11
0.07565232804520616 3 7
0.12353272658809228 3 8
0.19687544547997526 3 17
0.28856512469870665 7 25
0.10530043980993742 7 6
0.4192524297133565 12 22
0.035070235180935994 12 18
0.11030079561446687 12 20
0.30800363066100656 22 14
0.06351364564167061 22 2
0.13856114153987914 5 16
0.24403492979676544 5 25
0.31090425666541127 5 6
0.0563382169550114 16 4
0.39477474703149945 16 23
0.11091551528835414 14 21
0.4470467864168088 25 4
0.2938936324565062 9 11
0.442272081666414 9 13
0.11560429252995336 9 2
0.41646444240585273 11 26
0.37139560522812476 0 17
0.10146345441360849 0 21
0.28285369206468525 0 18
0.3458961321338603 17 19
0.4981417402381382 10 21
0.45123985867540956 10 6
0.19165256674246395 26 13
0.18963641476370874 26 19
0.09381338390467359 13 18
0.0693368160534994 1 8
0.020396526944257476 1 20
0.22884906142556527 4 23
0.14954352338768728 23 8
0.35040655184679576 19 20
